"iso3","year","population"
"THA",2013,69845114
"THA",2008,67619830
"THA",2003,64868166
"TLS",2023,1384286
"TLS",2018,1275959
"TLS",2013,1158695
"TLS",2008,1032429
"TLS",2003,916878
"TGO",2023,9304337
"TGO",2018,8258778
"TGO",2013,7285442
"TGO",2008,6368812
"TGO",2003,5552167
"TON",2023,104597
"TON",2018,105567
"TON",2013,107078
"TON",2008,107020
"TON",2003,104464
"TTO",2023,1367510
"TTO",2018,1359193
"TTO",2013,1340557
"TTO",2008,1308587
"TTO",2003,1338709
"TUN",2023,12200431
"TUN",2018,11765514
"TUN",2013,11141361
"TUN",2008,10542635
"TUN",2003,10071632
"TUR",2023,85325965
"TUR",2018,81407204
"TUR",2013,76147624
"TUR",2008,71051678
"TUR",2003,67831730
"TKM",2023,7364438
"TKM",2018,6655524
"TKM",2013,5939341
"TKM",2008,5345029
"TKM",2003,4863865
"TCA",2023,46198
"TCA",2018,41559
"TCA",2013,33653
"TCA",2008,27427
"TCA",2003,21727
"TUV",2023,9816
"TUV",2018,10751
"TUV",2013,11001
"TUV",2008,10321
"TUV",2003,9695
"UGA",2023,48656601
"UGA",2018,41565831
"UGA",2013,35337042
"UGA",2008,30539553
"UGA",2003,26352124
"UKR",2023,37732836
"UKR",2018,45208907
"UKR",2013,46126770
"UKR",2008,46819175
"UKR",2003,48315136
"ARE",2023,10483751
"ARE",2018,9346701
"ARE",2013,7693031
"ARE",2008,6302664
"ARE",2003,4192457
"GBR",2023,68492000
"GBR",2018,66289000
"GBR",2013,64139000
"GBR",2008,61806995
"GBR",2003,59647577
"USA",2023,336806231
"USA",2018,328529577
"USA",2013,316726282
"USA",2008,304093966
"USA",2003,290107933
"URY",2023,3388081
"URY",2018,3394534
"URY",2013,3345337
"URY",2008,3302177
"URY",2003,3281186
"UZB",2023,35652307
"UZB",2018,32373490
"UZB",2013,29724065
"UZB",2008,27494774
"UZB",2003,25711259
"VUT",2023,320409
"VUT",2018,285259
"VUT",2013,254482
"VUT",2008,226896
"VUT",2003,200746
"VEN",2023,28300854
"VEN",2018,29807592
"VEN",2013,29912198
"VEN",2008,28053696
"VEN",2003,25892703
"VNM",2023,100352192
"VNM",2018,96237319
"VNM",2013,90573104
"VNM",2008,85175788
"VNM",2003,79563777
"VIR",2023,104917
"VIR",2018,107001
"VIR",2013,108041
"VIR",2008,108397
"VIR",2003,108505
"PSE",2023,5165775
"PSE",2018,4569087
"PSE",2013,4076708
"PSE",2008,3591977
"PSE",2003,3154969
"YEM",2023,39390799
"YEM",2018,34085182
"YEM",2013,29312952
"YEM",2008,25111941
"YEM",2003,21456379
"ZMB",2023,20723965
"ZMB",2018,17973569
"ZMB",2013,15398997
"ZMB",2008,13021324
"ZMB",2003,10983595
"ZWE",2023,16340822
"ZWE",2018,15034452
"ZWE",2013,14013808
"ZWE",2008,12959149
"ZWE",2003,12232323
